date,feature_index,NO2
2025-06-18T00:00:00.000Z,0,
2025-06-20T00:00:00.000Z,0,
2025-06-22T00:00:00.000Z,0,
2025-06-19T00:00:00.000Z,0,1.5278674254659563E-5
2025-06-24T00:00:00.000Z,0,1.3689616783570576E-5
2025-06-17T00:00:00.000Z,0,2.8510566759602323E-5
2025-06-23T00:00:00.000Z,0,1.4249201740312856E-5
2025-06-21T00:00:00.000Z,0,1.7520309029350756E-5
2025-08-25T00:00:00.000Z,0,2.5535641119252734E-5
2025-08-26T00:00:00.000Z,0,3.428834725127672E-5
2025-08-20T00:00:00.000Z,0,
2025-08-27T00:00:00.000Z,0,1.675866406003479E-5
2025-08-21T00:00:00.000Z,0,
2025-08-24T00:00:00.000Z,0,2.7294565067374304E-5
2025-08-22T00:00:00.000Z,0,1.9328576096692512E-5
2025-08-23T00:00:00.000Z,0,2.0455380460286204E-5
2025-08-16T00:00:00.000Z,0,3.541539748160479E-5
2025-08-13T00:00:00.000Z,0,3.553151327650994E-5
2025-08-19T00:00:00.000Z,0,
2025-08-12T00:00:00.000Z,0,2.004455624652716E-5
2025-08-17T00:00:00.000Z,0,2.3950372299926432E-5
2025-08-15T00:00:00.000Z,0,2.6831488564009003E-5
2025-08-18T00:00:00.000Z,0,
2025-08-14T00:00:00.000Z,0,2.4648733112068538E-5
2025-10-18T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,3.459359625897681E-5
2025-10-17T00:00:00.000Z,0,
2025-06-15T00:00:00.000Z,0,3.2276249839924276E-5
2025-06-14T00:00:00.000Z,0,
2025-06-13T00:00:00.000Z,0,
2025-06-16T00:00:00.000Z,0,2.352434664013951E-5
2025-09-25T00:00:00.000Z,0,2.792894368515893E-5
2025-09-27T00:00:00.000Z,0,3.651938459370285E-5
2025-09-23T00:00:00.000Z,0,3.238833596697077E-5
2025-09-24T00:00:00.000Z,0,3.5941338561921533E-5
2025-09-21T00:00:00.000Z,0,1.7564218978805002E-5
2025-09-22T00:00:00.000Z,0,2.0587537619576324E-5
2025-09-28T00:00:00.000Z,0,1.1351490305363162E-5
2025-09-26T00:00:00.000Z,0,2.022189755734871E-5
2025-07-12T00:00:00.000Z,0,
2025-07-14T00:00:00.000Z,0,2.0267853566717047E-5
2025-07-15T00:00:00.000Z,0,
2025-07-17T00:00:00.000Z,0,2.0837178090005183E-5
2025-07-11T00:00:00.000Z,0,1.34103317274518E-5
2025-07-18T00:00:00.000Z,0,1.799496537084148E-5
2025-07-16T00:00:00.000Z,0,2.4120166472130222E-5
2025-07-13T00:00:00.000Z,0,
2025-06-06T00:00:00.000Z,0,2.0712317564175464E-5
2025-06-05T00:00:00.000Z,0,1.878525836218614E-5
2025-06-07T00:00:00.000Z,0,2.7446769763628254E-5
2025-06-02T00:00:00.000Z,0,2.349754428602561E-5
2025-06-08T00:00:00.000Z,0,
2025-06-04T00:00:00.000Z,0,2.1393528944220936E-5
2025-06-03T00:00:00.000Z,0,1.5970175203013543E-5
2025-06-01T00:00:00.000Z,0,
2025-10-11T00:00:00.000Z,0,4.073858902605328E-5
2025-10-12T00:00:00.000Z,0,2.6791249789918464E-5
2025-10-09T00:00:00.000Z,0,2.925281569332583E-5
2025-10-14T00:00:00.000Z,0,5.616830731014488E-5
2025-10-13T00:00:00.000Z,0,3.1143916567089035E-5
2025-10-10T00:00:00.000Z,0,2.737663301862388E-5
2025-10-07T00:00:00.000Z,0,4.448546800025118E-5
2025-10-08T00:00:00.000Z,0,1.898090188963882E-5
2025-07-26T00:00:00.000Z,0,1.982269350264687E-5
2025-07-19T00:00:00.000Z,0,1.795963074376535E-5
2025-07-21T00:00:00.000Z,0,1.7937848345657887E-5
2025-07-25T00:00:00.000Z,0,
2025-07-22T00:00:00.000Z,0,2.9424175257493818E-5
2025-07-24T00:00:00.000Z,0,
2025-07-20T00:00:00.000Z,0,2.7660727027978282E-5
2025-07-23T00:00:00.000Z,0,1.896172049479598E-5
2025-06-26T00:00:00.000Z,0,2.594265060906764E-5
2025-07-01T00:00:00.000Z,0,2.7070682699559255E-5
2025-06-29T00:00:00.000Z,0,
2025-06-27T00:00:00.000Z,0,
2025-06-30T00:00:00.000Z,0,1.9922739738831297E-5
2025-07-02T00:00:00.000Z,0,2.203538436636639E-5
2025-06-28T00:00:00.000Z,0,
2025-06-25T00:00:00.000Z,0,1.3230865977220674E-5
2025-09-03T00:00:00.000Z,0,2.469060503547856E-5
2025-09-04T00:00:00.000Z,0,2.7911485024863698E-5
2025-09-02T00:00:00.000Z,0,2.182777643611189E-5
2025-08-29T00:00:00.000Z,0,2.4533275639745018E-5
2025-08-30T00:00:00.000Z,0,
2025-08-28T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,2.5136498152278364E-5
2025-09-01T00:00:00.000Z,0,3.894159059806649E-5
2025-07-29T00:00:00.000Z,0,
2025-08-02T00:00:00.000Z,0,3.060984454350546E-5
2025-07-31T00:00:00.000Z,0,2.165150362998247E-5
2025-07-28T00:00:00.000Z,0,2.3513127719828237E-5
2025-08-01T00:00:00.000Z,0,3.165371648113554E-5
2025-07-30T00:00:00.000Z,0,2.299372681591194E-5
2025-08-03T00:00:00.000Z,0,2.6520180472289213E-5
2025-07-27T00:00:00.000Z,0,2.5637485123297665E-5
2025-09-08T00:00:00.000Z,0,2.1941561499261297E-5
2025-09-10T00:00:00.000Z,0,
2025-09-12T00:00:00.000Z,0,3.0790958589932416E-5
2025-09-11T00:00:00.000Z,0,2.9724909836659208E-5
2025-09-06T00:00:00.000Z,0,2.595389560156036E-5
2025-09-07T00:00:00.000Z,0,
2025-09-09T00:00:00.000Z,0,2.1452316104841884E-5
2025-09-05T00:00:00.000Z,0,2.3209377710979123E-5
2025-07-09T00:00:00.000Z,0,2.0374642796620417E-5
2025-07-07T00:00:00.000Z,0,1.1866761269629933E-5
2025-07-05T00:00:00.000Z,0,
2025-07-06T00:00:00.000Z,0,
2025-07-08T00:00:00.000Z,0,1.9162835997121874E-5
2025-07-03T00:00:00.000Z,0,2.0402016161824577E-5
2025-07-10T00:00:00.000Z,0,2.0481334104260895E-5
2025-07-04T00:00:00.000Z,0,2.0591442080331035E-5
2025-09-20T00:00:00.000Z,0,2.3348107030566705E-5
2025-09-16T00:00:00.000Z,0,
2025-09-18T00:00:00.000Z,0,
2025-09-15T00:00:00.000Z,0,
2025-09-14T00:00:00.000Z,0,1.958007110260951E-5
2025-09-19T00:00:00.000Z,0,1.834357190091396E-5
2025-09-13T00:00:00.000Z,0,2.808031634534321E-5
2025-09-17T00:00:00.000Z,0,4.2362087697256356E-5
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,4.346578316472005E-5
2025-10-06T00:00:00.000Z,0,3.810479392996058E-5
2025-10-04T00:00:00.000Z,0,2.228925768577028E-5
2025-10-03T00:00:00.000Z,0,2.6539715539305082E-5
2025-10-05T00:00:00.000Z,0,3.309470472837953E-5
2025-09-29T00:00:00.000Z,0,2.7441830146320474E-5
2025-06-10T00:00:00.000Z,0,4.050422406483752E-5
2025-06-09T00:00:00.000Z,0,1.022670244310575E-5
2025-06-11T00:00:00.000Z,0,1.2535110727185383E-5
2025-06-12T00:00:00.000Z,0,
2025-08-11T00:00:00.000Z,0,1.9598525341280038E-5
2025-08-09T00:00:00.000Z,0,2.9896404763955314E-5
2025-08-10T00:00:00.000Z,0,3.744388232007623E-5
2025-08-04T00:00:00.000Z,0,2.9722711891129922E-5
2025-08-07T00:00:00.000Z,0,1.950992297376312E-5
2025-08-08T00:00:00.000Z,0,1.9003823278277803E-5
2025-08-05T00:00:00.000Z,0,2.5009214368765242E-5
2025-08-06T00:00:00.000Z,0,2.9286281157207366E-5
2025-05-31T00:00:00.000Z,0,
