lag_2,lag_1,target
1.5278674254659563e-05,1.5278674254659563e-05,1.5278674254659563e-05
1.5278674254659563e-05,1.5278674254659563e-05,1.5278674254659563e-05
1.5278674254659563e-05,1.5278674254659563e-05,1.3689616783570576e-05
1.5278674254659563e-05,1.3689616783570576e-05,2.8510566759602323e-05
1.3689616783570576e-05,2.8510566759602323e-05,1.4249201740312856e-05
2.8510566759602323e-05,1.4249201740312856e-05,1.7520309029350756e-05
1.4249201740312856e-05,1.7520309029350756e-05,2.553564111925273e-05
1.7520309029350756e-05,2.553564111925273e-05,3.428834725127672e-05
2.553564111925273e-05,3.428834725127672e-05,2.5523505655655757e-05
3.428834725127672e-05,2.5523505655655757e-05,1.675866406003479e-05
2.5523505655655757e-05,1.675866406003479e-05,2.2026614563704548e-05
1.675866406003479e-05,2.2026614563704548e-05,2.7294565067374304e-05
2.2026614563704548e-05,2.7294565067374304e-05,1.9328576096692512e-05
2.7294565067374304e-05,1.9328576096692512e-05,2.0455380460286204e-05
1.9328576096692512e-05,2.0455380460286204e-05,3.541539748160479e-05
2.0455380460286204e-05,3.541539748160479e-05,3.553151327650994e-05
3.541539748160479e-05,3.553151327650994e-05,2.7788034761518556e-05
3.553151327650994e-05,2.7788034761518556e-05,2.004455624652716e-05
2.7788034761518556e-05,2.004455624652716e-05,2.3950372299926432e-05
2.004455624652716e-05,2.3950372299926432e-05,2.6831488564009003e-05
2.3950372299926432e-05,2.6831488564009003e-05,2.574011083803877e-05
2.6831488564009003e-05,2.574011083803877e-05,2.4648733112068538e-05
2.574011083803877e-05,2.4648733112068538e-05,2.796368749437129e-05
2.4648733112068538e-05,2.796368749437129e-05,3.127864187667405e-05
2.796368749437129e-05,3.127864187667405e-05,3.459359625897681e-05
3.127864187667405e-05,3.459359625897681e-05,3.3434923049450546e-05
3.459359625897681e-05,3.3434923049450546e-05,3.227624983992428e-05
3.3434923049450546e-05,3.227624983992428e-05,2.935894877332936e-05
3.227624983992428e-05,2.935894877332936e-05,2.6441647706734435e-05
2.935894877332936e-05,2.6441647706734435e-05,2.352434664013951e-05
2.6441647706734435e-05,2.352434664013951e-05,2.792894368515893e-05
2.352434664013951e-05,2.792894368515893e-05,3.651938459370285e-05
2.792894368515893e-05,3.651938459370285e-05,3.238833596697077e-05
3.651938459370285e-05,3.238833596697077e-05,3.5941338561921533e-05
